Position,Starting Grid,kaggle_driver_id,raceId,finished,dnf,laps_down,time_gap_sec,year,Team,Track,rain,sunny
6,8,848,1023,1.0,0.0,0.0,59.315,2019,Red Bull Racing,Italy,0,1
7,18,815,1023,1.0,0.0,0.0,73.802,2019,Racing Point,Italy,0,1
8,19,830,1023,1.0,0.0,0.0,74.492,2019,Red Bull Racing,Italy,0,1
9,10,841,1023,1.0,0.0,1.0,,2019,Alfa Romeo,Italy,0,1
10,16,846,1023,1.0,0.0,1.0,,2019,McLaren,Italy,0,1
11,17,842,1023,1.0,0.0,1.0,,2019,Toro Rosso,Italy,0,1
12,9,840,1023,1.0,0.0,1.0,,2019,Racing Point,Italy,0,1
13,4,20,1023,1.0,0.0,1.0,,2019,Ferrari,Italy,0,1
14,14,847,1023,1.0,0.0,1.0,,2019,Williams,Italy,0,1
15,20,8,1023,1.0,0.0,1.0,,2019,Alfa Romeo,Italy,0,1
16,13,154,1023,1.0,0.0,1.0,,2019,Haas,Italy,0,1
17,15,9,1023,1.0,0.0,2.0,,2019,Williams,Italy,0,1
NC,11,825,1023,0.0,1.0,,,2019,Haas,Italy,0,1
NC,12,826,1023,0.0,1.0,,,2019,Toro Rosso,Italy,0,1
NC,7,832,1023,0.0,1.0,,,2019,McLaren,Italy,0,1
1,3,20,1024,1.0,0.0,0.0,0.0,2019,Ferrari,Singapore,0,1
2,1,844,1024,1.0,0.0,0.0,2.641,2019,Ferrari,Singapore,0,1
3,4,830,1024,1.0,0.0,0.0,3.821,2019,Red Bull Racing,Singapore,0,1
4,2,1,1024,1.0,0.0,0.0,4.608,2019,Mercedes,Singapore,0,1
5,5,822,1024,1.0,0.0,0.0,6.119,2019,Mercedes,Singapore,0,1
6,6,848,1024,1.0,0.0,0.0,11.663,2019,Red Bull Racing,Singapore,0,1
7,9,846,1024,1.0,0.0,0.0,14.769,2019,McLaren,Singapore,0,1
8,11,842,1024,1.0,0.0,0.0,15.547,2019,Toro Rosso,Singapore,0,1
9,8,807,1024,1.0,0.0,0.0,16.718,2019,Renault,Singapore,0,1
10,10,841,1024,1.0,0.0,0.0,27.855,2019,Alfa Romeo,Singapore,0,1
11,17,154,1024,1.0,0.0,0.0,35.436,2019,Haas,Singapore,0,1
12,7,832,1024,1.0,0.0,0.0,35.974,2019,McLaren,Singapore,0,1
13,16,840,1024,1.0,0.0,0.0,36.419,2019,Racing Point,Singapore,0,1
