Position,Starting Grid,kaggle_driver_id,raceId,finished,dnf,laps_down,time_gap_sec
15,5,807,1106,1.0,0.0,1.0,
16,20,855,1106,1.0,0.0,1.0,
17,13,825,1106,1.0,0.0,1.0,
18,17,856,1106,1.0,0.0,1.0,
NC,4,847,1106,0.0,1.0,,
NC,18,858,1106,0.0,1.0,,
1,1,830,1107,1.0,0.0,0.0,0.0
2,2,844,1107,1.0,0.0,0.0,5.155
3,15,815,1107,1.0,0.0,0.0,17.188
4,4,846,1107,1.0,0.0,0.0,26.327
5,7,4,1107,1.0,0.0,0.0,30.317
6,3,832,1107,1.0,0.0,0.0,31.377
7,11,847,1107,1.0,0.0,0.0,48.403
8,5,1,1107,1.0,0.0,0.0,49.196
9,6,840,1107,1.0,0.0,0.0,59.043
10,9,842,1107,1.0,0.0,0.0,67.667
11,10,848,1107,1.0,0.0,0.0,79.767
12,17,855,1107,1.0,0.0,1.0,
13,18,858,1107,1.0,0.0,1.0,
14,12,839,1107,1.0,0.0,1.0,
15,14,822,1107,1.0,0.0,1.0,
16,13,857,1107,1.0,0.0,1.0,
17,20,856,1107,1.0,0.0,1.0,
18,19,825,1107,1.0,0.0,1.0,
19,16,852,1107,1.0,0.0,1.0,
NC,8,807,1107,0.0,1.0,,
1,1,830,1108,1.0,0.0,0.0,0.0
2,2,846,1108,1.0,0.0,0.0,3.798
3,7,1,1108,1.0,0.0,0.0,6.783
4,3,857,1108,1.0,0.0,0.0,7.776
5,6,847,1108,1.0,0.0,0.0,11.206
6,15,815,1108,1.0,0.0,0.0,12.882
7,9,4,1108,1.0,0.0,0.0,17.193
8,8,848,1108,1.0,0.0,0.0,17.878
9,4,844,1108,1.0,0.0,0.0,18.689
10,5,832,1108,1.0,0.0,0.0,19.448
11,14,858,1108,1.0,0.0,0.0,23.632
12,20,822,1108,1.0,0.0,0.0,25.83
13,11,807,1108,1.0,0.0,0.0,26.663
14,12,840,1108,1.0,0.0,0.0,27.483
15,17,855,1108,1.0,0.0,0.0,29.82
16,16,852,1108,1.0,0.0,0.0,31.225
17,18,856,1108,1.0,0.0,0.0,33.128
18,10,842,1108,0.0,1.0,,
NC,19,825,1108,0.0,1.0,,
NC,13,839,1108,0.0,1.0,,
1,2,830,1109,1.0,0.0,0.0,0.0
2,3,846,1109,1.0,0.0,0.0,33.731
3,9,815,1109,1.0,0.0,0.0,37.603
4,1,1,1109,1.0,0.0,0.0,39.134
5,4,857,1109,1.0,0.0,0.0,62.572
6,18,847,1109,1.0,0.0,0.0,65.825
7,6,844,1109,1.0,0.0,0.0,70.317
8,11,832,1109,1.0,0.0,0.0,71.073
9,8,4,1109,1.0,0.0,0.0,75.709
10,14,840,1109,1.0,0.0,1.0,
11,16,848,1109,1.0,0.0,1.0,
12,7,822,1109,1.0,0.0,1.0,
13,13,817,1109,1.0,0.0,1.0,
14,10,807,1109,1.0,0.0,1.0,
15,17,852,1109,1.0,0.0,1.0,
16,5,855,1109,1.0,0.0,1.0,
17,19,825,1109,1.0,0.0,1.0,
18,20,858,1109,0.0,1.0,,
NC,12,839,1109,0.0,1.0,,
NC,15,842,1109,0.0,1.0,,
1,6,830,1110,1.0,0.0,0.0,0.0
2,2,815,1110,1.0,0.0,0.0,22.305
3,1,844,1110,1.0,0.0,0.0,32.259
4,3,1,1110,1.0,0.0,0.0,49.671
5,9,4,1110,1.0,0.0,0.0,56.184
6,8,847,1110,1.0,0.0,0.0,63.101
7,7,846,1110,1.0,0.0,0.0,73.719
8,14,839,1110,1.0,0.0,0.0,74.719
9,10,840,1110,1.0,0.0,0.0,79.34
10,11,852,1110,1.0,0.0,0.0,80.221
11,12,842,1110,1.0,0.0,0.0,83.084
12,13,822,1110,1.0,0.0,0.0,85.191
13,17,855,1110,1.0,0.0,0.0,95.441
14,15,848,1110,1.0,0.0,0.0,96.184
15,16,825,1110,1.0,0.0,0.0,101.754
16,19,817,1110,1.0,0.0,0.0,103.071
17,18,858,1110,1.0,0.0,0.0,104.476
18,20,807,1110,1.0,0.0,0.0,110.45
NC,4,832,1110,0.0,1.0,,
NC,5,857,1110,0.0,1.0,,
1,1,830,1111,1.0,0.0,0.0,0.0
2,5,4,1111,1.0,0.0,0.0,3.744
3,12,842,1111,1.0,0.0,0.0,7.058
4,7,815,1111,1.0,0.0,0.0,10.068
5,6,832,1111,1.0,0.0,0.0,12.541
6,13,1,1111,1.0,0.0,0.0,13.209
7,2,846,1111,1.0,0.0,0.0,13.232
8,4,848,1111,1.0,0.0,0.0,15.155
9,8,857,1111,1.0,0.0,0.0,16.58
10,16,839,1111,1.0,0.0,0.0,18.346
11,11,840,1111,1.0,0.0,0.0,20.087
12,14,807,1111,1.0,0.0,0.0,20.84
13,19,859,1111,1.0,0.0,0.0,26.147
14,18,822,1111,1.0,0.0,0.0,27.388
15,17,852,1111,1.0,0.0,0.0,29.893
16,20,825,1111,1.0,0.0,0.0,31.41
17,3,847,1111,1.0,0.0,0.0,55.754
NC,15,855,1111,0.0,1.0,,
NC,9,844,1111,0.0,1.0,,
NC,10,858,1111,0.0,1.0,,
1,2,830,1112,1.0,0.0,0.0,0.0
2,5,815,1112,1.0,0.0,0.0,6.064
3,1,832,1112,1.0,0.0,0.0,11.193
4,3,844,1112,1.0,0.0,0.0,11.377
5,4,847,1112,1.0,0.0,0.0,23.028
6,8,1,1112,1.0,0.0,0.0,42.679
7,6,848,1112,1.0,0.0,0.0,45.106
8,9,846,1112,1.0,0.0,0.0,45.449
9,10,4,1112,1.0,0.0,0.0,46.294
10,14,822,1112,1.0,0.0,0.0,64.056
11,12,859,1112,1.0,0.0,0.0,70.638
12,7,857,1112,1.0,0.0,0.0,73.074
13,15,858,1112,1.0,0.0,0.0,78.557
14,16,855,1112,1.0,0.0,0.0,80.164
15,17,842,1112,1.0,0.0,0.0,82.51
16,20,840,1112,1.0,0.0,0.0,87.266
17,13,807,1112,1.0,0.0,1.0,
18,19,825,1112,1.0,0.0,1.0,
NC,18,839,1112,0.0,1.0,,
NC,11,852,1112,0.0,1.0,,
1,1,832,1113,1.0,0.0,0.0,0.0
2,4,846,1113,1.0,0.0,0.0,0.812
3,5,1,1113,1.0,0.0,0.0,1.269
4,3,844,1113,1.0,0.0,0.0,21.177
5,11,830,1113,1.0,0.0,0.0,21.441
6,12,842,1113,1.0,0.0,0.0,38.441
7,17,857,1113,1.0,0.0,0.0,41.479
8,13,815,1113,1.0,0.0,0.0,54.534
9,10,859,1113,1.0,0.0,0.0,65.918
10,6,825,1113,1.0,0.0,0.0,72.116
11,14,848,1113,1.0,0.0,0.0,73.417
12,19,855,1113,1.0,0.0,0.0,83.649
13,9,807,1113,1.0,0.0,0.0,85.201
14,18,858,1113,1.0,0.0,0.0,86.889
15,7,4,1113,1.0,0.0,0.0,87.603
16,2,847,1113,0.0,1.0,,
NC,16,822,1113,0.0,1.0,,
NC,8,839,1113,0.0,1.0,,
NC,15,852,1113,0.0,1.0,,
NC,20,840,1113,0.0,1.0,,
1,1,830,1114,1.0,0.0,0.0,0.0
2,3,846,1114,1.0,0.0,0.0,19.387
3,2,857,1114,1.0,0.0,0.0,36.494
