Position,Starting Grid,kaggle_driver_id,finished,dnf,laps_down,time_gap_sec,year,Team,Track,raceId,rain,sunny
1,1,857.0,1.0,0.0,0.0,0.0,2025,McLaren,Spain,1153,0.0,1.0
2,2,846.0,1.0,0.0,0.0,2.471,2025,McLaren,Spain,1153,0.0,1.0
3,7,844.0,1.0,0.0,0.0,10.455,2025,Ferrari,Spain,1153,0.0,1.0
4,4,847.0,1.0,0.0,0.0,11.359,2025,Mercedes,Spain,1153,0.0,1.0
5,15,807.0,1.0,0.0,0.0,13.648,2025,Kick Sauber,Spain,1153,0.0,1.0
6,5,1.0,1.0,0.0,0.0,15.508,2025,Ferrari,Spain,1153,0.0,1.0
7,9,864.0,1.0,0.0,0.0,16.022,2025,Racing Bulls,Spain,1153,0.0,1.0
8,8,842.0,1.0,0.0,0.0,17.882,2025,Alpine,Spain,1153,0.0,1.0
9,10,4.0,1.0,0.0,0.0,21.564,2025,Aston Martin,Spain,1153,0.0,1.0
10,3,830.0,1.0,0.0,0.0,21.826,2025,Red Bull Racing,Spain,1153,0.0,1.0
11,13,859.0,1.0,0.0,0.0,25.532,2025,Racing Bulls,Spain,1153,0.0,1.0
12,12,865.0,1.0,0.0,0.0,25.996,2025,Kick Sauber,Spain,1153,0.0,1.0
13,19,852.0,1.0,0.0,0.0,28.822,2025,Red Bull Racing,Spain,1153,0.0,1.0
14,17,832.0,1.0,0.0,0.0,29.309,2025,Williams,Spain,1153,0.0,1.0
15,18,861.0,1.0,0.0,0.0,31.381,2025,Alpine,Spain,1153,0.0,1.0
16,16,839.0,1.0,0.0,0.0,32.197,2025,Haas,Spain,1153,0.0,1.0
17,14,860.0,1.0,0.0,0.0,37.065,2025,Haas,Spain,1153,0.0,1.0
NC,6,863.0,0.0,1.0,,,2025,Mercedes,Spain,1153,0.0,1.0
NC,11,848.0,0.0,1.0,,,2025,Williams,Spain,1153,0.0,1.0
1,1,847.0,1.0,0.0,0.0,0.0,2025,Mercedes,Canada,1154,0.0,1.0
2,2,830.0,1.0,0.0,0.0,0.228,2025,Red Bull Racing,Canada,1154,0.0,1.0
3,4,863.0,1.0,0.0,0.0,1.014,2025,Mercedes,Canada,1154,0.0,1.0
4,3,857.0,1.0,0.0,0.0,2.109,2025,McLaren,Canada,1154,0.0,1.0
5,8,844.0,1.0,0.0,0.0,3.442,2025,Ferrari,Canada,1154,0.0,1.0
6,5,1.0,1.0,0.0,0.0,10.713,2025,Ferrari,Canada,1154,0.0,1.0
7,6,4.0,1.0,0.0,0.0,10.972,2025,Aston Martin,Canada,1154,0.0,1.0
8,11,807.0,1.0,0.0,0.0,15.364,2025,Kick Sauber,Canada,1154,0.0,1.0
9,14,839.0,1.0,0.0,1.0,,2025,Haas,Canada,1154,0.0,1.0
10,16,832.0,1.0,0.0,1.0,,2025,Williams,Canada,1154,0.0,1.0
11,13,860.0,1.0,0.0,1.0,,2025,Haas,Canada,1154,0.0,1.0
12,18,852.0,1.0,0.0,1.0,,2025,Red Bull Racing,Canada,1154,0.0,1.0
13,10,861.0,1.0,0.0,1.0,,2025,Alpine,Canada,1154,0.0,1.0
14,15,865.0,1.0,0.0,1.0,,2025,Kick Sauber,Canada,1154,0.0,1.0
