Position,Starting Grid,kaggle_driver_id,raceId,finished,dnf,laps_down,time_gap_sec,year,Team,Track,rain,sunny,quali_position,participated_q2,participated_q3,q1_time_sec,q2_time_sec,q3_time_sec
12,16.0,815,1015,1.0,0.0,1.0,,2019,Racing Point,Monaco,1,0,17.0,0.0,0.0,72.233,,
13,11.0,807,1015,1.0,0.0,1.0,,2019,Renault,Monaco,1,0,11.0,1.0,0.0,72.097,71.67,
14,5.0,825,1015,1.0,0.0,1.0,,2019,Haas,Monaco,1,0,6.0,1.0,1.0,71.865,71.363,71.109
15,19.0,847,1015,1.0,0.0,1.0,,2019,Williams,Monaco,1,0,19.0,0.0,0.0,73.477,,
16,17.0,840,1015,1.0,0.0,1.0,,2019,Racing Point,Monaco,1,0,18.0,0.0,0.0,72.846,,
17,14.0,8,1015,1.0,0.0,1.0,,2019,Alfa Romeo,Monaco,1,0,14.0,1.0,0.0,71.993,72.115,
18,20.0,9,1015,1.0,0.0,1.0,,2019,Williams,Monaco,1,0,20.0,0.0,0.0,73.751,,
19,18.0,841,1015,1.0,0.0,2.0,,2019,Alfa Romeo,Monaco,1,0,15.0,1.0,0.0,71.976,72.185,
NC,15.0,844,1015,0.0,1.0,,,2019,Ferrari,Monaco,1,0,16.0,0.0,0.0,72.149,,
1,2.0,1,1016,1.0,0.0,0.0,0.0,2019,Mercedes,Canada,0,1,2.0,1.0,1.0,71.518,71.01,70.446
2,1.0,20,1016,1.0,0.0,0.0,3.658,2019,Ferrari,Canada,0,1,1.0,1.0,1.0,71.2,71.142,70.24
3,3.0,844,1016,1.0,0.0,0.0,4.696,2019,Ferrari,Canada,0,1,3.0,1.0,1.0,71.214,71.205,70.92
4,6.0,822,1016,1.0,0.0,0.0,51.043,2019,Mercedes,Canada,0,1,6.0,1.0,1.0,71.229,71.095,71.101
5,9.0,830,1016,1.0,0.0,0.0,57.655,2019,Red Bull Racing,Canada,0,1,11.0,1.0,0.0,71.619,71.8,
6,4.0,817,1016,1.0,0.0,1.0,,2019,Renault,Canada,0,1,4.0,1.0,1.0,71.837,71.532,71.071
7,7.0,807,1016,1.0,0.0,1.0,,2019,Renault,Canada,0,1,7.0,1.0,1.0,71.72,71.553,71.324
8,5.0,842,1016,1.0,0.0,1.0,,2019,Toro Rosso,Canada,0,1,5.0,1.0,1.0,72.023,71.196,71.07900000000001
9,17.0,840,1016,1.0,0.0,1.0,,2019,Racing Point,Canada,0,1,18.0,0.0,0.0,72.266,,
10,10.0,826,1016,1.0,0.0,1.0,,2019,Toro Rosso,Canada,0,1,12.0,1.0,0.0,71.965,71.92099999999999,
