Position,Starting Grid,kaggle_driver_id,raceId,finished,dnf,laps_down,time_gap_sec,year,Team,Track,rain,sunny
2,3,846,1109,1.0,0.0,0.0,33.731,2023,McLaren,Hungary,0,1
3,9,815,1109,1.0,0.0,0.0,37.603,2023,Red Bull Racing,Hungary,0,1
4,1,1,1109,1.0,0.0,0.0,39.134,2023,Mercedes,Hungary,0,1
5,4,857,1109,1.0,0.0,0.0,62.572,2023,McLaren,Hungary,0,1
6,18,847,1109,1.0,0.0,0.0,65.825,2023,Mercedes,Hungary,0,1
7,6,844,1109,1.0,0.0,0.0,70.317,2023,Ferrari,Hungary,0,1
8,11,832,1109,1.0,0.0,0.0,71.073,2023,Ferrari,Hungary,0,1
9,8,4,1109,1.0,0.0,0.0,75.709,2023,Aston Martin,Hungary,0,1
10,14,840,1109,1.0,0.0,1.0,,2023,Aston Martin,Hungary,0,1
11,16,848,1109,1.0,0.0,1.0,,2023,Williams,Hungary,0,1
12,7,822,1109,1.0,0.0,1.0,,2023,Alfa Romeo,Hungary,0,1
13,13,817,1109,1.0,0.0,1.0,,2023,AlphaTauri,Hungary,0,1
14,10,807,1109,1.0,0.0,1.0,,2023,Haas F1 Team,Hungary,0,1
15,17,852,1109,1.0,0.0,1.0,,2023,AlphaTauri,Hungary,0,1
16,5,855,1109,1.0,0.0,1.0,,2023,Alfa Romeo,Hungary,0,1
17,19,825,1109,1.0,0.0,1.0,,2023,Haas F1 Team,Hungary,0,1
18,20,858,1109,0.0,1.0,,,2023,Williams,Hungary,0,1
NC,12,839,1109,0.0,1.0,,,2023,Alpine,Hungary,0,1
NC,15,842,1109,0.0,1.0,,,2023,Alpine,Hungary,0,1
1,6,830,1110,1.0,0.0,0.0,0.0,2023,Red Bull Racing,Belgium,0,1
2,2,815,1110,1.0,0.0,0.0,22.305,2023,Red Bull Racing,Belgium,0,1
3,1,844,1110,1.0,0.0,0.0,32.259,2023,Ferrari,Belgium,0,1
4,3,1,1110,1.0,0.0,0.0,49.671,2023,Mercedes,Belgium,0,1
5,9,4,1110,1.0,0.0,0.0,56.184,2023,Aston Martin,Belgium,0,1
6,8,847,1110,1.0,0.0,0.0,63.101,2023,Mercedes,Belgium,0,1
7,7,846,1110,1.0,0.0,0.0,73.719,2023,McLaren,Belgium,0,1
8,14,839,1110,1.0,0.0,0.0,74.719,2023,Alpine,Belgium,0,1
9,10,840,1110,1.0,0.0,0.0,79.34,2023,Aston Martin,Belgium,0,1
10,11,852,1110,1.0,0.0,0.0,80.221,2023,AlphaTauri,Belgium,0,1
11,12,842,1110,1.0,0.0,0.0,83.084,2023,Alpine,Belgium,0,1
12,13,822,1110,1.0,0.0,0.0,85.191,2023,Alfa Romeo,Belgium,0,1
13,17,855,1110,1.0,0.0,0.0,95.441,2023,Alfa Romeo,Belgium,0,1
14,15,848,1110,1.0,0.0,0.0,96.184,2023,Williams,Belgium,0,1
15,16,825,1110,1.0,0.0,0.0,101.754,2023,Haas F1 Team,Belgium,0,1
16,19,817,1110,1.0,0.0,0.0,103.071,2023,AlphaTauri,Belgium,0,1
17,18,858,1110,1.0,0.0,0.0,104.476,2023,Williams,Belgium,0,1
18,20,807,1110,1.0,0.0,0.0,110.45,2023,Haas F1 Team,Belgium,0,1
NC,4,832,1110,0.0,1.0,,,2023,Ferrari,Belgium,0,1
NC,5,857,1110,0.0,1.0,,,2023,McLaren,Belgium,0,1
1,1,830,1111,1.0,0.0,0.0,0.0,2023,Red Bull Racing,Netherlands,1,1
2,5,4,1111,1.0,0.0,0.0,3.744,2023,Aston Martin,Netherlands,1,1
3,12,842,1111,1.0,0.0,0.0,7.058,2023,Alpine,Netherlands,1,1
4,7,815,1111,1.0,0.0,0.0,10.068,2023,Red Bull Racing,Netherlands,1,1
5,6,832,1111,1.0,0.0,0.0,12.541,2023,Ferrari,Netherlands,1,1
6,13,1,1111,1.0,0.0,0.0,13.209,2023,Mercedes,Netherlands,1,1
7,2,846,1111,1.0,0.0,0.0,13.232,2023,McLaren,Netherlands,1,1
8,4,848,1111,1.0,0.0,0.0,15.155,2023,Williams,Netherlands,1,1
9,8,857,1111,1.0,0.0,0.0,16.58,2023,McLaren,Netherlands,1,1
10,16,839,1111,1.0,0.0,0.0,18.346,2023,Alpine,Netherlands,1,1
11,11,840,1111,1.0,0.0,0.0,20.087,2023,Aston Martin,Netherlands,1,1
12,14,807,1111,1.0,0.0,0.0,20.84,2023,Haas F1 Team,Netherlands,1,1
13,19,859,1111,1.0,0.0,0.0,26.147,2023,AlphaTauri,Netherlands,1,1
14,18,822,1111,1.0,0.0,0.0,27.388,2023,Alfa Romeo,Netherlands,1,1
15,17,852,1111,1.0,0.0,0.0,29.893,2023,AlphaTauri,Netherlands,1,1
16,20,825,1111,1.0,0.0,0.0,31.41,2023,Haas F1 Team,Netherlands,1,1
17,3,847,1111,1.0,0.0,0.0,55.754,2023,Mercedes,Netherlands,1,1
NC,15,855,1111,0.0,1.0,,,2023,Alfa Romeo,Netherlands,1,1
NC,9,844,1111,0.0,1.0,,,2023,Ferrari,Netherlands,1,1
NC,10,858,1111,0.0,1.0,,,2023,Williams,Netherlands,1,1
1,2,830,1112,1.0,0.0,0.0,0.0,2023,Red Bull Racing,Italy,0,1
2,5,815,1112,1.0,0.0,0.0,6.064,2023,Red Bull Racing,Italy,0,1
3,1,832,1112,1.0,0.0,0.0,11.193,2023,Ferrari,Italy,0,1
4,3,844,1112,1.0,0.0,0.0,11.377,2023,Ferrari,Italy,0,1
5,4,847,1112,1.0,0.0,0.0,23.028,2023,Mercedes,Italy,0,1
6,8,1,1112,1.0,0.0,0.0,42.679,2023,Mercedes,Italy,0,1
7,6,848,1112,1.0,0.0,0.0,45.106,2023,Williams,Italy,0,1
8,9,846,1112,1.0,0.0,0.0,45.449,2023,McLaren,Italy,0,1
9,10,4,1112,1.0,0.0,0.0,46.294,2023,Aston Martin,Italy,0,1
10,14,822,1112,1.0,0.0,0.0,64.056,2023,Alfa Romeo,Italy,0,1
11,12,859,1112,1.0,0.0,0.0,70.638,2023,AlphaTauri,Italy,0,1
12,7,857,1112,1.0,0.0,0.0,73.074,2023,McLaren,Italy,0,1
13,15,858,1112,1.0,0.0,0.0,78.557,2023,Williams,Italy,0,1
14,16,855,1112,1.0,0.0,0.0,80.164,2023,Alfa Romeo,Italy,0,1
15,17,842,1112,1.0,0.0,0.0,82.51,2023,Alpine,Italy,0,1
16,20,840,1112,1.0,0.0,0.0,87.266,2023,Aston Martin,Italy,0,1
17,13,807,1112,1.0,0.0,1.0,,2023,Haas F1 Team,Italy,0,1
18,19,825,1112,1.0,0.0,1.0,,2023,Haas F1 Team,Italy,0,1
NC,18,839,1112,0.0,1.0,,,2023,Alpine,Italy,0,1
NC,11,852,1112,0.0,1.0,,,2023,AlphaTauri,Italy,0,1
1,1,832,1113,1.0,0.0,0.0,0.0,2023,Ferrari,Singapore,0,1
2,4,846,1113,1.0,0.0,0.0,0.812,2023,McLaren,Singapore,0,1
3,5,1,1113,1.0,0.0,0.0,1.269,2023,Mercedes,Singapore,0,1
4,3,844,1113,1.0,0.0,0.0,21.177,2023,Ferrari,Singapore,0,1
5,11,830,1113,1.0,0.0,0.0,21.441,2023,Red Bull Racing,Singapore,0,1
6,12,842,1113,1.0,0.0,0.0,38.441,2023,Alpine,Singapore,0,1
7,17,857,1113,1.0,0.0,0.0,41.479,2023,McLaren,Singapore,0,1
8,13,815,1113,1.0,0.0,0.0,54.534,2023,Red Bull Racing,Singapore,0,1
9,10,859,1113,1.0,0.0,0.0,65.918,2023,AlphaTauri,Singapore,0,1
10,6,825,1113,1.0,0.0,0.0,72.116,2023,Haas F1 Team,Singapore,0,1
11,14,848,1113,1.0,0.0,0.0,73.417,2023,Williams,Singapore,0,1
12,19,855,1113,1.0,0.0,0.0,83.649,2023,Alfa Romeo,Singapore,0,1
13,9,807,1113,1.0,0.0,0.0,85.201,2023,Haas F1 Team,Singapore,0,1
14,18,858,1113,1.0,0.0,0.0,86.889,2023,Williams,Singapore,0,1
15,7,4,1113,1.0,0.0,0.0,87.603,2023,Aston Martin,Singapore,0,1
16,2,847,1113,0.0,1.0,,,2023,Mercedes,Singapore,0,1
NC,16,822,1113,0.0,1.0,,,2023,Alfa Romeo,Singapore,0,1
NC,8,839,1113,0.0,1.0,,,2023,Alpine,Singapore,0,1
NC,15,852,1113,0.0,1.0,,,2023,AlphaTauri,Singapore,0,1
NC,20,840,1113,0.0,1.0,,,2023,Aston Martin,Singapore,0,1
1,1,830,1114,1.0,0.0,0.0,0.0,2023,Red Bull Racing,Japan,0,1
2,3,846,1114,1.0,0.0,0.0,19.387,2023,McLaren,Japan,0,1
3,2,857,1114,1.0,0.0,0.0,36.494,2023,McLaren,Japan,0,1
4,4,844,1114,1.0,0.0,0.0,43.998,2023,Ferrari,Japan,0,1
