resultId,raceId,driverId,position,time,milliseconds,fastestLapTime,fastestLapSpeed
24143,1007,830,1,1:38:28.851,5908851,1:19.186,195.670
24144,1007,20,2,+17.316,5926167,1:19.522,194.844
24145,1007,8,3,+49.914,5958765,1:20.334,192.874
24146,1007,1,4,+1:18.738,5987589,1:20.728,191.933
24147,1007,822,5,\N,\N,1:18.741,196.776
24148,1007,807,6,\N,\N,1:20.637,192.150
24149,1007,844,7,\N,\N,1:20.537,192.388
24150,1007,838,8,\N,\N,1:21.921,189.138
24151,1007,828,9,\N,\N,1:22.440,187.947
24152,1007,842,10,\N,\N,1:22.755,187.232
24153,1007,839,11,\N,\N,1:22.629,187.517
24154,1007,840,12,\N,\N,1:22.983,186.717
24155,1007,845,13,\N,\N,1:22.640,187.492
24156,1007,843,14,\N,\N,1:22.438,187.952
24157,1007,825,15,\N,\N,1:21.874,189.246
24158,1007,154,16,\N,\N,1:21.370,190.419
24159,1007,817,\N,\N,\N,1:19.462,194.991
24160,1007,815,\N,\N,\N,1:23.545,185.461
24161,1007,832,\N,\N,\N,1:22.386,188.070
24162,1007,4,\N,\N,\N,1:24.197,184.025
24163,1008,1,1,1:27:09.066,5229066,1:11.795,216.065
24164,1008,830,2,+1.469,5230535,1:11.578,216.720
24165,1008,8,3,+4.764,5233830,1:11.769,216.143
24166,1008,817,4,+5.193,5234259,1:11.343,217.434
24167,1008,822,5,+22.943,5252009,1:10.540,219.909
24168,1008,20,6,+26.997,5256063,1:10.831,219.005
24169,1008,844,7,+44.199,5273265,1:12.082,215.204
24170,1008,154,8,+51.230,5280296,1:12.362,214.372
24171,1008,825,9,+52.857,5281923,1:12.206,214.835
24172,1008,815,10,\N,\N,1:12.472,214.046
24173,1008,843,11,\N,\N,1:12.949,212.647
24174,1008,832,12,\N,\N,1:12.169,214.945
24175,1008,842,13,\N,\N,1:13.822,210.132
24176,1008,838,14,\N,\N,1:12.968,212.591
24177,1008,839,15,\N,\N,1:12.352,214.401
24178,1008,845,16,\N,\N,1:14.262,208.887
24179,1008,4,17,\N,\N,1:12.643,213.542
24180,1008,840,18,\N,\N,1:11.751,216.197
24181,1008,807,\N,\N,\N,1:14.029,209.544
24182,1008,828,\N,\N,\N,1:15.281,206.059
24183,1009,1,1,1:39:40.382,5980382,1:41.357,197.267
24184,1009,20,2,+2.581,5982963,1:40.867,198.225
24185,1009,830,3,+12.706,5993088,1:41.909,196.198
24186,1009,817,4,+15.379,5995761,1:41.249,197.477
24187,1009,822,5,+47.957,6028339,1:40.953,198.056
24188,1009,832,6,+1:12.548,6052930,1:41.351,197.278
24189,1009,844,7,+1:30.789,6071171,1:42.876,194.354
24190,1009,815,8,+1:31.275,6071657,1:42.816,194.467
24191,1009,154,9,\N,\N,1:43.195,193.753
24192,1009,825,10,\N,\N,1:42.822,194.456
24193,1009,4,11,\N,\N,1:42.393,195.271
24194,1009,843,12,\N,\N,1:44.174,191.932
24195,1009,840,13,\N,\N,1:44.033,192.192
24196,1009,838,14,\N,\N,1:43.249,193.652
24197,1009,845,15,\N,\N,1:43.831,192.566
24198,1009,842,\N,\N,\N,1:43.988,192.276
24199,1009,839,\N,\N,\N,1:43.591,193.012
24200,1009,828,\N,\N,\N,1:46.077,188.489
24201,1009,8,\N,\N,\N,1:45.198,190.064
24202,1009,807,\N,\N,\N,\N,\N
24203,1010,822,1,1:25:27.325,5127325,1:25.580,223.075
24204,1010,1,2,+20.886,5148211,1:26.057,221.839
24205,1010,830,3,+22.520,5149845,1:26.256,221.327
24206,1010,20,4,+57.109,5184434,1:27.954,217.054
24207,1010,844,5,+58.203,5185528,1:26.926,219.621
24208,1010,825,6,+1:27.156,5214481,1:28.182,216.493
24209,1010,807,7,\N,\N,1:28.444,215.851
24210,1010,8,8,\N,\N,1:28.270,216.277
24211,1010,840,9,\N,\N,1:27.568,218.011
24212,1010,826,10,\N,\N,1:27.448,218.310
24213,1010,842,11,\N,\N,1:27.229,218.858
24214,1010,846,12,\N,\N,1:28.555,215.581
24215,1010,815,13,\N,\N,1:28.485,215.751
24216,1010,848,14,\N,\N,1:28.188,216.478
24217,1010,841,15,\N,\N,1:28.479,215.766
24218,1010,847,16,\N,\N,1:28.713,215.197
24219,1010,9,17,\N,\N,1:29.284,213.821
24220,1010,154,\N,\N,\N,1:28.462,215.807
24221,1010,817,\N,\N,\N,1:29.848,212.478
24222,1010,832,\N,\N,\N,1:30.899,210.022
24223,1011,1,1,1:34:21.295,5661295,1:33.528,208.314
24224,1011,822,2,+2.980,5664275,1:34.209,206.808
24225,1011,844,3,+6.131,5667426,1:33.411,208.575
24226,1011,830,4,+6.408,5667703,1:35.311,204.417
24227,1011,20,5,+36.068,5697363,1:34.895,205.313
24228,1011,846,6,+45.754,5707049,1:35.777,203.422
24229,1011,8,7,+47.470,5708765,1:35.589,203.822
24230,1011,842,8,+58.094,5719389,1:35.291,204.460
24231,1011,848,9,+1:02.697,5723992,1:36.752,201.372
24232,1011,815,10,+1:03.696,5724991,1:36.330,202.254
24233,1011,841,11,+1:04.599,5725894,1:35.237,204.575
24234,1011,826,12,\N,\N,1:34.934,205.228
24235,1011,825,13,\N,\N,1:35.892,203.178
24236,1011,840,14,\N,\N,1:37.037,200.781
24237,1011,847,15,\N,\N,1:37.313,200.211
24238,1011,9,16,\N,\N,1:37.903,199.005
24239,1011,807,\N,\N,\N,1:35.215,204.623
24240,1011,817,\N,\N,\N,1:36.697,201.487
24241,1011,832,\N,\N,\N,1:35.586,203.829
24242,1011,154,\N,\N,\N,1:37.262,200.316
24243,1012,1,1,1:32:06.350,5526350,1:35.892,204.642
24244,1012,822,2,+6.552,5532902,1:34.872,206.842
24245,1012,20,3,+13.774,5540124,1:34.836,206.921
24246,1012,830,4,+27.627,5553977,1:36.143,204.108
24247,1012,844,5,+31.276,5557626,1:34.860,206.869
24248,1012,842,6,+1:29.307,5615657,1:34.742,207.126
24249,1012,817,7,\N,\N,1:38.632,198.957
24250,1012,815,8,\N,\N,1:38.702,198.816
24251,1012,8,9,\N,\N,1:37.812,200.625
24252,1012,848,10,\N,\N,1:38.901,198.416
24253,1012,154,11,\N,\N,1:36.873,202.570
24254,1012,840,12,\N,\N,1:36.678,202.978
24255,1012,825,13,\N,\N,1:37.471,201.327
24256,1012,832,14,\N,\N,1:37.502,201.263
24257,1012,841,15,\N,\N,1:38.048,200.142
24258,1012,847,16,\N,\N,1:37.283,201.716
24259,1012,9,17,\N,\N,1:39.772,196.684
24260,1012,846,18,\N,\N,1:38.346,199.536
24261,1012,826,\N,\N,\N,1:37.975,200.291
24262,1012,807,\N,\N,\N,1:39.677,196.871
24263,1013,822,1,1:31:52.942,5512942,1:44.024,207.748
24264,1013,1,2,+1.524,5514466,1:44.166,207.465
24265,1013,20,3,+11.739,5524681,1:44.629,206.546
24266,1013,830,4,+17.493,5530435,1:44.794,206.221
24267,1013,844,5,+1:09.107,5582049,1:43.009,209.795
24268,1013,815,6,+1:16.416,5589358,1:45.524,204.795
24269,1013,832,7,+1:23.826,5596768,1:45.807,204.247
24270,1013,846,8,+1:40.268,5613210,1:45.394,205.047
24271,1013,840,9,+1:43.816,5616758,1:46.009,203.858
24272,1013,8,10,\N,\N,1:46.479,202.958
24273,1013,848,11,\N,\N,1:45.754,204.349
24274,1013,841,12,\N,\N,1:45.969,203.935
24275,1013,825,13,\N,\N,1:46.682,202.572
24276,1013,807,14,\N,\N,1:47.407,201.204
24277,1013,847,15,\N,\N,1:47.251,201.497
24278,1013,9,16,\N,\N,1:47.709,200.640
24279,1013,842,\N,\N,\N,1:45.712,204.430
24280,1013,154,\N,\N,\N,1:48.517,199.146
24281,1013,826,\N,\N,\N,1:47.681,200.692
24282,1013,817,\N,\N,\N,1:46.767,202.410
24283,1014,1,1,1:35:50.443,5750443,1:18.492,213.499
24284,1014,822,2,+4.074,5754517,1:18.737,212.835
24285,1014,830,3,+7.679,5758122,1:19.769,210.081
24286,1014,20,4,+9.167,5759610,1:19.820,209.947
24287,1014,844,5,+13.361,5763804,1:20.002,209.469
24288,1014,842,6,+19.576,5770019,1:20.536,208.080
24289,1014,825,7,+28.159,5778602,1:20.770,207.478
24290,1014,832,8,+32.342,5782785,1:20.859,207.249
24291,1014,826,9,+33.056,5783499,1:20.726,207.591
24292,1014,154,10,+34.641,5785084,1:21.057,206.743
24293,1014,848,11,+35.445,5785888,1:21.028,206.817
